scheme_name,slug,details,benefits,eligibility,application,documents,level,schemeCategory,Unnamed: 9,tags
Aam Aadmi Bima Yojana (Maharashtra),aabym,"The ""Aam Aadmi Bima Yojana"" scheme is implemented by the Social Justice & Special Assistance Department, Government of Maharashtra. This Centrally Sponsored Scheme is aimed at providing insurance and scholarship benefits to landless laborers in rural areas, aged 18 to 59 years. The annual premium for each member is ₹200/-, with 50% of the premium subsidized by the State and Central Governments. The scheme covers all categories of beneficiaries and focuses on providing financial security through insurance and educational scholarships.","Natural Death Benefit: ₹30,000 is payable to the nominee in case of natural death before the terminal date. Accidental Death Benefit: ₹75,000 is payable to the nominee in case of death due to an accident. Permanent Total Disability (Accident): ₹75,000 is provided in case of permanent total disability caused by an accident. Loss of Two Eyes or Two Limbs (Accident): ₹75,000 is payable in case of loss of two eyes or two limbs in an accident. Loss of One Eye or One Limb (Accident): ₹37,500 is payable in case of loss of one eye or one limb in an accident. Scholarship Benefit: ₹100 per month is given as a scholarship to children of the insured studying in 9th to 12th standards. The scholarship is available for a maximum of two children per family.",The applicant should be a resident of Maharashtra. The applicant's age should be between 18 and 59 years. The applicant must be a landless labourer. The applicant should be residing in a rural area. The applicant's family should not own any agricultural land. The applicant should not be covered under any other similar insurance scheme.,"Step 1: The interested applicant should visit (during office hours) the Office of the Collector/Tahsildar/Talathi  and request a hard copy of the prescribed format of the application form from the concerned authority. Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized photograph (signed across, if required), and attach copies of all the mandatory documents (self-attest, if required). Step 3: Submit the duly filled and signed application form along with the documents, within the prescribed period (if any), to the concerned authority. Step 4: Request a receipt or acknowledgement from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable). NOTE: Ensure that the application is submitted within the prescribed period, if any.",Proof of Identity Proof of Age Address Proof Certificate of Landlessness Passport-Sized Photographs Income Certificate Application Form Self-Attestation Additional Documents (if applicable) ﻿,State,"Social welfare & Empowerment, Banking,Financial Services and Insurance, Education & Learning",,"Insurance, Scholarship, Accident, Disability, Student"
Award Of Stipend To VJNT And SBC Students Studying In ITI,awvsssi,"The Government of Maharashtra launched a scheme that provides to encourage V.J.N.T. & S.B.C. students and promotes their interest in Technical education. The Scheme Objective is to encourage V.J.N.T. & S.B.C. students and to promote the interest in Technical education vide G.R. No. EBC-1079/ 56243/ D-1 dated 7/5/1983 Govt. has introduced a scheme named as Award to I.T.I. students is given Rs.40/- p.m. stipend through Technical Education Department and Rs. 60/- p.m. stipend through this Department.   For the student who has not been given a stipend from Technical Education Department, Rs.100/- p.m. as a stipend is being given to these VJNT and SBC students by this Dept.",Maintenance Allowance from Rs.40/- to Rs.100/- per month for 10 months is provided through the concerned I.T.I.,Students should belong to V.J.N.T. or S.B.C category. Students should be trainees of approved I.T.I. The parent/Guardian's income should be up to ₹ 65290/- per year. The selection process is completed by the Principal of the concerned ITI. ﻿,"The application should be submitted to the concerned I.T.I. I.T.I. should submit the same to Asstt. Commissioner, Social Welfare concerned for approval.",Caste Certificate Domicile Certificate Residence Proof Aadhar card Bank Details School Marksheet Passport size photograph,State,Social welfare & Empowerment,,"Vimukta Jati Nomadic Tribes, Special Backward Class, Technical Education, ITI"
Bhausaheb Fundkar Falbag Lagvad Scheme,bhausaheb-fundkar-horticulture-plantataion-scheme,"The pattern of assistance under this scheme of total amount payable in three years. The subsidy amount will be directly credited to the Aadhaar link Bank Account every year. The beneficiary has to maintain the percentage survival of fruit plant shall be minimum 80% for first year and  90%  for the second year. State Sponsored Bhausaheb Fundkar Falbag Lagvad Scheme was launched by Agriculture Department of Maharashtra from Kharif Season of the year 2018-19. This scheme include the 16 perennial fruit crops like Mango, Cashew, Guava, Sapota, Custered Apple, Pomegranate, Paper Lemon, Coconut, Tamarind, Fig, Amla, Kokum, Jackfruit, Jamun, Orange, Mosambi. Farmer from Konkan division can avail benefit of 0.10 Hector to 10.00 Hector And rest Of Maharashtra 0.20 Ha. to 6.00 Ha. planting under the scheme. ﻿","Subsidy through DBT is given to farmer for plantation of 16 perennial fruit crops like Mango, Cashew, Guava, Sapota, Custered Apple, Pomegranate, Paper Lemon, Coconut, Tamarind, Fig, Amla, Kokum, Jackfruit, Jamun, Orange, Mosambi, for below mentioned activities : ﻿ 1.  Pit Diggsing 2.  Planting grafts/seedling 3.  Application of chemical and organic fertilizers. 4.  Crop Protection 5.  Gap filling ﻿",The beneficiary should be a permanent resident of Maharashtra State Farmer should have Aadhaar Card. Farmer should have 7/12 certificate and 8 –A certificate. ﻿,"Application link:  https://mahadbt.maharashtra.gov.in/ ﻿ Application Process: 1.	Go to the Aaple Sarkar DBT Portal at https://mahadbt.maharashtra.gov.in/. 2.	In that go to Farmer Scheme 3.	Click on the “New Applicant Registration” button. 4.	Enter your basic personal information, including your name, Aadhaar number, mobile number, and email address. 5.	Create a username and password. 6.	After completion of registration, login to your account and complete the form by entering Personal details,Address details and Land information details to complete profile 100%. 7.	After completing profile, apply for the implements, details of implement and its specifications etc and pay the fees to complete application form. ﻿","1.	Aadhaar Card 2. 7/12 Certificate 3. 8-A Certificate 4. Caste Certificate for SC,ST beneficiaries 5. Self Declaration 6. Pre Sanction Letter 7. Invoice of Implement ﻿",State,"Agriculture,Rural & Environment",,"Direct Benefit Transfer, Farmer, General, Horticulture, Plantation"
CHIEF MINISTER  EMPLOYMENT GENERATION  PROGRAMME (CMEGP),cmegp,"Scheme launched by GR शासन निर्णय क्र. योजना-२०१९/प्र.क्र.१२१/उद्योग ७ dated on 01.08.2019 Scheme will be implemented and monitored by Directorate of Industries (DOI), under the administrative control of Industries Department, Government of Maharashtra. The Scheme will be implemented through District Industries   Canters (DICs), Maharashtra State Khadi and Village Industries Boards (KVIB) under the control of Directorate of Industries and also by banks. ﻿ The maximum cost of the project/unit admissible under manufacturing sector is Rs.50 lakh. The maximum cost of the project/unit admissible under service, Agro-based/ Primary Agro processing sector, E-vehicle based goods transport and other businesses, single brand service ventures (single brand-based chains, mobile service ventures) is Rs.20 lakhs. Beneficiary’s Contribution in the project cost will be 5% to 10 % as per the Categories of Beneficiaries under CMEGP scheme and balance amount of the total project cost will be provided   by Banks as term loan. ﻿",﻿ Categories of beneficiaries under CMEGP Beneficiary’s Contribution (of project cost) Rate of subsidy (of project cost) Area (location of project/unit) ﻿ Urban Rural General Category 10% 15% 25% Special Category (includes SC / ST /Women/ Ex- servicemen / differently abled/VJNT/OBC/Minority) 5% 25% 35% ﻿,"1)The Age of the applicant should be between 18 to 45. For Special category (including SC/ST/Women/ Ex-servicemen/Differently abled) age is relaxed by 5 years. 2)The Occupation of the applicant should be unemployed youth, Youth willing to establish new ventures. 3)The Annual Income of the Applicant/Family/Parent/Guardian should No criteria LPA 4)The Gender of the applicant should be Male and Female 5)The Marital Status of the applicant should be for all 6)The Educational Qualification of the applicant should be minimum 7th standard pass for   project/unit above Rs. 10 lac and for project/units above Rs.25 lac the required educational criterion for the applicant is minimum 10th standard pass. ﻿","Step 01:  Fill online application on portal https://maha-cmegp.gov.in ﻿ ﻿ Step 02: District level Scrutiny and Coordination Sub-Committee (DLSCC) constituted under the Chairmanship of respective GM, DICs will scrutinize the applications and prepare a primary list of eligible applicants. ﻿ Step 03: primary eligible applicants list will be approved by DLTFC and then forwarded to bank. ﻿ Step 04: Bank Sanctioning &  Entrepreneurship Development Programme (EDP)  training &  Disbursment ﻿ Step 05: Subsidy claim by Bank to GM ﻿ Step 06: Approval of claim by HO and disbursement of margin money viz. nodal bank ﻿ Step 07: completion of three successful years of activity and following the timely repayment schedule as informed by the bank, the margin money in the form of grant-in-aid will be re-appropriated in the applicant’s loan account after confirmation / necessary validation from GM, DIC. ﻿",1)	Passport size photo 2)	Aadhar card 3)	Domicile certificate 4)	Educational cetifiacate 5)	Undertaking form 6)	Project profile 7)	Caste certificate(If applicable) 8)	Special categary certificate(If applicable) 9)	Pan card 10)	Populatuion certificate (Only for rural applicant) 11)	Clearance /approved certificate (bank)(If Working capital is zero for project cost more than 5 lac) ﻿,State,"Business & Entrepreneurship, Skills & Employment, Social welfare & Empowerment",,"Scheduled Caste, Scheduled Tribe, Female, Other Backward Class, Person With Disability, VJNT"
Chief Minister Sustainable Agriculture Irrigation Scheme - Magel Tyala Shettale (Individual Farm Pond),chief-minister-sustainable-agriculture-irrigation-scheme,"Chief Minister Sustainable Agriculture Irrigation Scheme-Magel Tyala Shettale (Individual Farm Pond) has been launched by Ministry of Agriculture, Animal Husbandry,Dairy Development &Fishries Department, Maharashtra State in the year 2022-23 (vide G.R.Dated 29 th June, 2022) Under this scheme subsidy payable to individual farmer is minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farm pond. ﻿ ﻿ Out of total area, 82 percent area of agriculture land in the state is rainfed and is dependent on rainfall. Water stress due to uneven distribution of rains and periodic interruptions in rains leads to large reduction in crop production. Sometimes crops are also destroyed. Farm ponds, in such situation plays an important role in providing protective irrigation and reduces crop losses substantially. Considering this matter, Chief Minister Sustainable Agriculture Irrigation Scheme-Individual Farm Pond has been sanctioned by the Maharashtra State Govt. vide G.R. Dated 29th June,2022. The scheme is implemented in all districts of the state. Under this scheme the subsidy payable to individual farmer is minimum Rs 14433/- and maximum Rs 75000/- depending on the size of the farm pond. Farmers should hold at least 0.20 ha land in Kokan region, while it is 0.40 ha limit for rest of the Maharashtra. Online applications are invited from farmers under Maha-DBT portal. The scheme is implemented by selecting the beneficiaries online through Maha-DBT portal. After completion of the farm pond, the subsidy payable under the scheme is credited through the PFMS system to theAadhaar number linked bank account of the farmer.The farm ponds are of two types one being with inlet outlet and the other without inlet and outlet type. The implementation of the component ""Magel TyalaShettale"" under Chief Minister Sustainable Agriculture Irrigation Scheme was approved videGovernment Circular dated April 25,2023. The name “Chhatrapati Shivaji Maharaj Krishi Yojana"" was given vide GR. dated 18th October 2023. ﻿",1) Financial Assistance is given to farmers. ﻿ 2)The subsidy payable to an individual farmer minimum Rs.14433/- and maximum Rs.75000/- depending on the size of the farmpond. ﻿,"1)	Farmer should hold at least (Minimum) 0.20 ha. land and Kokan region, while it is 0.40 ha. limit for rest of Maharashtra. 2)	The applicant farmers land will have to be technically suitable for digging farm pond. So that the runoff rainwater can be stored in the farm pond through natural flow and recharge will be possible. In case of farm ponds without inlet and outlet there should be a natural source from where extra runoff during rainy season can be lifted and stored in farm pond. 3)	Before applying for farm pond, the applicant farmers should not have availed the subsidy for farm pond, community tank or bodi in paddy bunding or any Government Scheme. ﻿","Step 01:  Farmer Registration ﻿ Step 02:  Select user type and complete Aadhar authentication. ﻿ Step 03:  Profile completion (Mobile number, Address details, Land & land holding information) ﻿ Step 04:  Apply for Individual Farm Pond (a) select scheme Chief Minister Sustainable Agriculture Irrigation Scheme (b) Select farm pond type (with inlet outlet or without inlet outlet) (c) Select farm pond size. ﻿ ﻿ https://mahadbt.maharashtra.gov.in/ ﻿ ﻿ ﻿ ﻿ ﻿ ﻿ ﻿",,State,"Agriculture,Rural & Environment",,"MahaDBT, Individual Farm Pond, Magel Tyala Shettale, Chatrapati Shivaji Maharaj Krishi Yojana"
Craftsman Training Scheme - Maharashtra,cts-maharashtra,"The ""Craftsman Training Scheme"" was launched by the Skill Development, Employment and Entrepreneurship Department, Government of Maharashtra. This stipend aims to support the trainees financially and encourage them to pursue and complete their vocational training, thereby contributing to skilled manpower development in the state.",Stipend ₹500/- per month.,"The applicant should be a resident of Maharashtra state. The applicant should belong to Scheduled Castes, Scheduled Tribes, Freed Castes and Nomadic Tribes, Other Backward Classes, Special Backward Classes, Minority Communities and Open Category economically backward The annual income of parents should not exceed ₹8,00,000/-. Only two siblings within a family are eligible for this benefit. The trainee should maintain an average of 80% attendance. The trainee should be passing the first year to enroll in a 2-year trade. SC trainees with an annual income of less than ₹2,50,000/- are also eligible for the Post Matric Scholarship. Trainees suspended or found non-eligible for the All India Trade Test (AITT) will not qualify. Trainees who have left the GITI are not eligible from their date of departure. Trainees in PITI are ineligible for this scheme. ﻿","MAHA DBT Registration Process: Step 01: Visit the official website . Step 02: Click ""New Applicant Registration"" and fill in the Applicant Name, Username, Confirm Password, Email ID, and Mobile Number. Step 03: Fill in the Captcha, OTP and Click to ""Register"" ﻿ Login and Apply Step 01: Click ""Applicant Login"" and Enter your registered username, password Step 02: Enter the security text shown in the image and click on the ""Login Here"" button for login Step 03: Create Your Profile Personal Information, Address Information, Current Course, Current Course, etc. Step 04: View Suggested Eligible Schemes and Choose Scheme Step 05: Apply for the scheme and Upload the relevant document. Step 06: After that, you get the Application ID. ﻿ Note: The applicant having an Aadhaar-seeded savings bank account in a nationalized bank is mandatory. Trainee registration on the MAHA-DBT portal is compulsory. ﻿",Passport-size Photograph. Aadhaar Card. Domicile Certificate. Income Certificate. Admission Proof (Admission letter or certificate from the Government ITI). Bank Account Details (Passbook copy showing the Aadhaar-linked bank account in a nationalized bank). Previous Year’s Marksheets (Proof of academic performance and eligibility for continued benefit in the second year). Caste Certificate. ﻿,State,Skills & Employment,,"Stipend, Craftsman, Training, Skill Development"
Dr. Ambedkar Medical Aid Scheme (Revised – 2009),amas-haryana,"The scheme “Dr. Ambedkar Medical Aid Scheme” has been revised and implemented by the Directorate of Welfare of Scheduled Caste & Backward Classes, Government of Haryana in 2009. The scheme is meant to provide medical treatment facilities to patients suffering from serious ailments requiring surgery of the Kidney, Heart, Liver, Cancer, and Brain or any other life-threatening diseases including Knee surgery and Spinal surgery to Scheduled Caste and Scheduled Tribe persons whose annual family income is less than ₹ 1,00,000/- per annum and will be implemented through the following Hospitals: •	All India Institute of Medical Sciences, New Delhi. •	Sanjay Gandhi Post Graduate Institute, Lucknow, Uttar Pradesh. •	Patna Medical College Hospital, Patna, Bihar. •	Jabalpur Hospital and Research Centre, Jabalpur, Madhya Pradesh. •	B. Barua Cancer Institute, Guwahati, Assam. •	Birla Heart Foundation, Kolkata, West Bengal. •	Kalinga Hospital Ltd. Chandrashekharpur, Bhubaneswar, Orissa. •	Tata Cancer Research Institute, Mumbai, Maharashtra. •	Nizam Institute of Medical Sciences, Hyderabad, Andhra Pradesh. •	The Voluntary Health Services, Chennai. •	All CGHS-approved Hospitals as revised from time to time by the Ministry of Health & Family Welfare, Government of India. •	All State Government Medical Colleges attached Hospitals even if not included under CGHS Scheme. •	All State Hospitals. •	All Hospitals recognized by State Government. •	All Hospitals are fully funded by either the Central Government or the State Governments. •	All Government Hospitals in District Headquarters/ major towns where surgery or treatment facility for Kidney, Heart, Liver Cancer, and Brain or any other life-threatening disease including knee surgery and spinal surgery is available. •	In exceptional cases where the Chairperson is personally convinced of the genuineness and justification for the need to cover any Hospital outside the approved list, can be approached for eligible treatment.  Disbursement: 1.	75% of the estimated cost of the treatment will be directly released to the concerned Hospital, with a maximum ceiling limit of ₹ 1,00,000/- in each case, in the form of a crossed cheque/ DD. 2.	The 50% of the total admissible medical aid will be paid, in advance, directly to the Hospital before surgery as the first installment. 3.	The remaining 50% amount will be released to the concerned Hospital after the surgery, on submission of the final bills duly certified by the Medical Superintendent of the said Hospital. 4.	Further, medical aid from the foundation and other sources should not exceed the total estimated cost of the treatment. A certificate in this regard should be obtained from the Medical Superintendent of the concerned Hospital. 5.	The Estimated Cost certificate to be submitted along with the application should contain the date fixed for the surgical operation.","Under this scheme medical treatment facilities provide to the patients suffering from serious ailments of Scheduled Caste and Scheduled Tribe persons whose annual family income is less than ₹ 1,00,000/- p.a. A patient having serious ailments requiring surgery of the Kidney, Heart, Liver, Cancer, Knee, Spinal and Brain, or any other life-threatening diseases may be given treatment.","The applicant shall belong to Scheduled Caste and Scheduled Tribe Community. Annual family income shall not exceed ₹ 1,00,000/- per annum. Those who are suffering from major ailments which need surgery such as kidney, heart, liver, cancer, brain or any other life-threatening disease including knee surgery and spinal surgery.","Application Link: http://haryanascbc.gov.in/sites/default/files/documents/application_form_for_medical_aid.pdf ﻿ Step 01: The applicant shall apply for medical aid in the prescribed application form, duly certified by the Medical Superintendent of the concerned Hospital. The application format is given overleaf. Step 02: The application must be submitted along with the caste certificate, income certificate, ration card, and estimated cost of the treatment duly certified by the Medical Superintendent of the Hospital. Step 03: The application shall be recommended and forwarded by the local sitting Member of Parliament (Lok Sabha or Rajya Sabha) or by the District Magistrate & Collector / Deputy Commissioner of the concerned District or the Secretary in charge of Health & Social Welfare Departments of the State/UT. Step 04: The duly filled-in form should reach the Director, Dr. Ambedkar Foundation, 15, Janpath, New Delhi, at least 15 days before the date of surgery. All the applications received will be processed by Dr. Ambedkar Foundation. ﻿ ﻿","Original Estimated Cost certificate duly signed by the Medical Superintendent of the concerned hospital. Original or attested photocopies of the income certificate, caste certificate, and ration card of the patient. The application should be recommended and forwarded either by a local sitting Member of Parliament (Lok Sabha or Rajya Sabha) or by the District Magistrate & Collectors/Deputy Commissioner of the concerned District or the Secretary in-charge of Health & Social Welfare Departments of State/UT. Medical aid from the Foundation and other sources should not exceed the total estimated cost of the treatment. A certificate in this regard should be obtained from the Medical Superintendent of the concerned Hospital. The Estimated Cost Certificate, accompanied with the application, should contain the date fixed for the surgical operation as far as possible. An attested photograph of the patient should be affixed on the Application Form.",State,"Health & Wellness, Social welfare & Empowerment",,"Medical Treatment, Scheduled Caste, Scheduled Tribe, Hospital, Surgery"
Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,drpdhma,"The Panjabrao Deshmukh Scheme is a welfare scheme launched by the Government of Maharashtra to provide financial assistance to students from economically weaker sections of the society who are pursuing higher education. The scheme provides financial assistance to students for their tuition fees, examination fees, and other related expenses. ﻿ The objective of this scheme is to encourage and support students from economically weaker sections of the society to pursue higher education and to help them achieve their career aspirations. The scheme aims to bridge the gap between the economically privileged and underprivileged students and to ensure that every deserving student has equal access to higher education. ﻿ Under this scheme, eligible students can apply for financial assistance through the online portal of the scheme. The applicants are required to provide their personal details, academic records, income certificate, and other relevant documents as per the guidelines of the scheme. The applications are then verified and scrutinized by the authorities, and the financial assistance is provided to the eligible students directly to their bank accounts. ﻿ Overall, the Panjabrao Deshmukh Scheme is an important initiative by the Government of Maharashtra towards the goal of inclusive and equitable education. It provides a much-needed financial support system for students from economically weaker sections of the society, thereby helping them to achieve their educational goals and aspirations. ﻿","1.	Hostel maintenance allowance for students with annual income less than 8,00,000: Rs.3000 per year for Mumbai, Pune, Nagpur, and Aurangabad and Rs.2000 per year for other locations. (for 10 months in an academic year). 2.	Hostel maintenance allowance for students whose parents are Aplabhudharak shetkari/Registered Labourers: Rs.30,000 per year for Mumbai, Pune, Nagpur, and Aurangabad and Rs.20,000 per year for other locations(for 10 months in an academic year). ﻿","Eligibility Criteria: (As per the GR Dated 07th Oct 2017, 22nd Feb 2018 , 01st March 2018, 18th June 2018 ) a) Applicant should have Nationality of India. b) Candidate should be Domicile of Maharashtra State. c) Applicant should be ”Bonafide Student of Institute” and admitted for Professional and Technical course (Diploma / Graduation / Post Graduation Degree) as mentioned in GR d) Deemed University and Private university is not applicable e) Candidate should be admitted through Centralized Admission Process (CAP). f) Applicant should not avail any other scholarship/stipend. g) For current Academic Year, Only 2 child from family are allowed for benefit of scheme. h) The Total Annual Income of Family / Guardian should not be more than 8 Lakhs. i) Minimum 50 % attendance in previous semester (Exception for fresh admitted in College). j) During course duration, candidate should not have a gap of 2 or more than 2 years. ﻿","1.	Go to https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51AA5337B52CE309785 ﻿ 2.	Click on New Applicant Registratio : Create account if your are new candidate by entering name, mobile number and password 3.	Click on Applicant Login : Fill the details username and password 4.	Click on Find eligible scheme by entering details like religion, caste, annual income, department as Directorate of Medical Education Research and disability type and apply for Dr, Panjabrao Deshmukh Hostel Maintanance Allowance. ﻿",1. Domicile Certificate 2.	New applicants need to submit HSC and SSC mark sheet 3.	Income certificate of Parents. 4.	Previous year's mark sheet. 5.	Affidavit 6.	Registered Labourers/aplabhudarak shetkari need to submit a proof letter approved from the tahsildar /Income certificate of Parents. 7.	Aadhaar card 8.	Student's PAN card (optional) 9.	Father's PAN card 10.Mother's PAN card (optional) ﻿ ﻿,State,Education & Learning,,"Dr. Panjabrao Deshmukh, Hostel Allowance, Education, Maharashtra Scheme, Student Scheme"
Educational Assistance for Degree Course,eafdc,"The Educational Assistance for Degree Course scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. The scheme provides financial assistance of ₹20,000/- per year to children of registered construction workers pursuing their undergraduate degrees. This benefit is also extended to the wife of a registered male worker.","Financial assistance of ₹20,000/- per year for undergraduate students. ﻿ ﻿","The children's parents or guardians should be registered under the Maharashtra Building and Other Construction Workers Welfare Board. The student must be enrolled in a degree course (1st, 2nd, 3rd, or 4th year). The benefit applies to a maximum of two children and the wife of a registered male worker. ﻿","Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide of Admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Education & Learning,,"Financial Assistance, Degree, Construction Worker, Student, Scholarship"
Educational Assistance for Government Recognised Diploma Courses,eagrdc,"The Educational Assistance for Government Recognised Diploma Courses scheme was launched by the Maharashtra Building And Other Construction Workers Welfare Board (MBOCWW), Labour Department Maharashtra. The scheme aims to provide financial assistance to children of registered construction workers, providing ₹20,000/- per year for diploma courses and ₹25,000/- per year for postgraduate diploma courses.","Financial Assistance For: Government Recognized Diploma Courses- ₹20,000/- Postgraduate Diploma Courses- ₹25,000/- ﻿ NOTE: Benefit applies to a maximum of two children and to the wife of registered male workers.",The applicant should be a resident of Maharashtra. The applicant should be a child or spouse of a registered construction worker. The construction worker should be registered under the MBOCWW. The applicant must be enrolled in a government-recognized diploma or postgraduate diploma course. ﻿,"Step-1: The interested applicant downloads the application form from the MBOCWW official website. Step-2: In the application form, fill in all the mandatory fields, and attach copies of all the mandatory documents (self-attest, if required). Step-3: Submit the duly filled and signed application form along with the documents to the Labor Commissioner/Government Labor Officer. Step-4: Request a receipt or acknowledgment from the concerned authority to whom the application has been submitted. Ensure that the receipt contains essential details such as the date and time of submission, and a unique identification number (if applicable).",Passport-size Photo. Aadhaar Card. Identity Card of Maharashtra Building and Other Construction Workers Welfare Board. Bank Passbook. Marksheet/School Certificate of passing in the previous academic level. Acknowledgment/Bonafide for admission in the current academic year. Proof of Residence (One of Aadhaar Card/Passport/Driving Licence/Ration Sheet/Last Month's Electricity Bill/Gram Panchayat Certificate). ﻿ ﻿,State,Education & Learning,,"Financial Assistance, Diploma, Construction Worker, Student, Scholarship"
